x,y,token
-58.83505,22.461376,emma
-28.654892,-42.044113,by
-59.96121,20.059498,jane
-21.582058,-9.582459,volume
-31.696941,-17.833485,i
67.90566,24.406837,chapter
-26.340063,24.110735,handsome
-25.727188,26.618362,clever
-29.483255,-41.93492,and
14.585363,18.244467,rich
-29.45877,-42.01915,with
-30.779299,-40.590973,a
-29.994907,29.162916,comfortable
-50.3426,6.0864162,home
-21.594856,29.527899,happy
-36.26357,22.966303,disposition
-23.702179,-35.845184,seemed
-29.466225,-41.410652,to
-8.72701,6.537899,unite
-7.1886115,-41.9374,some
-29.176783,-42.178024,of
-29.494883,-41.969692,the
-29.300062,-11.627865,best
24.96504,32.288853,blessings
-28.910992,18.74895,existence
-25.897434,-35.76587,had
-26.848415,-4.297851,lived
-37.79503,0.18294312,nearly
69.8983,2.486912,twenty
-24.439476,-32.591,one
68.81387,0.579441,years
-28.942242,-42.109833,in
-2.4877036,6.334968,world
-34.048462,-9.853753,very
-28.899046,-31.069374,little
-12.542012,27.746826,distress
-29.56357,-42.65961,or
11.217358,41.572636,vex
-55.0032,-24.748661,her
-54.98316,-24.744097,she
-25.868793,-35.77937,was
-4.9746227,37.092457,youngest
45.15644,-36.22752,two
59.478775,33.791817,daughters
-18.490078,2.7308593,most
-40.144386,20.916254,affectionate
-6.2263913,23.225931,indulgent
53.81573,35.202557,father
-41.42812,31.037949,consequence
54.053078,34.835438,sister
-32.2998,-36.213745,s
-40.361366,17.942505,marriage
-40.0154,5.033343,been
-46.983307,-24.717976,mistress
-29.05232,-36.11973,his
50.92247,-3.7049272,house
-28.854462,-42.41935,from
-46.05344,-11.59478,early
-38.783043,3.1638436,period
53.930347,34.96962,mother
59.63606,18.169264,died
-34.259438,-9.783718,too
3.8178387,-34.348694,long
-26.441193,-5.200555,ago
-28.587297,-40.061478,for
-30.40486,-13.73417,have
-5.8435035,-13.077701,more
-5.8865633,-13.042104,than
-31.05246,-40.587673,an
0.6581981,30.203018,remembrance
-13.939229,-20.212225,place
